Sample,TVC,Pseudomonads,Brochothrix thermosphacta,LAB,Enterobacteriaceae,Yeasts-Molds
5A9,9.6573553085,9.6986227036,8.0249576569,6.5267314911,7.4692597389,9.1091365814
5A10,9.7383432388,9.8416585922,7.9408063889,7.6601772308,8.1417188644,9.4051160812
5A11,9.8008127213,9.9327297211,8.2333965302,7.671309948,9.0154342651,8.9513273239
5A12,9.714715004,9.7548027039,8.03718853,7.7741332054,8.4707555771,8.4667434692
5A13,9.9594078064,9.7984638214,8.0536050797,7.6901054382,8.8694295883,9.2573537827
5A14,9.9190149307,9.9503469467,8.302069664,7.767013073,8.8864536285,8.4286661148
5A15,9.8808135986,9.8873310089,8.0906362534,7.623249054,8.7180814743,8.8018426895
5A16,9.9020700455,9.9893188477,7.8565773964,7.7015604973,9.1286563873,7.4771213531
5M2,5.4771213531,4.1393766403,4.0395908356,5.5986404419,4.2156820297,3.7265827656
5M3,5.6975755692,4.7525749207,4.4647092819,6.185090065,4.6980996132,4.5093502998
5M4,6.3200418657,4.7525749892,4.4647094629,6.1850899428,4.6980996735,4.5093502493
5M5,6.5730638504,4.3890757561,4.6347565651,6.4562969208,4.4030900002,4.4331436157
5M6,7.0206961632,4.6857185364,5.6504735947,6.7385606766,4.4426808357,4.353785038
5M7,7.2591252327,4.8546347618,5.9611029625,7.0973958969,4.8567452431,4.9826006889
5M8,7.5105948448,4.8269920349,6.2149729729,7.2442755699,4.7745018005,4.3756394386
5M9,7.7305240631,5.2539277077,6.1097269058,7.6803913116,4.9188570976,5.3294825554
5M10,7.8565773964,5.359333992,6.9867486954,7.4697594643,5.2729873657,5.698969841
5M11,8.0910644531,5.1808638573,5.9888620377,7.6766695976,5.0794825554,4.9621396065
5M12,8.0226612091,5.2007002831,6.3835778236,7.5412130356,5.1495137215,5.0667695999
5M13,8.1450176239,5.57766819,7.3747134209,7.7428607941,5.5284523964,5.7074866295
5M14,7.9885416031,5.0880455971,6.3685965538,7.6043548584,4.889292717,5.2932372093
5M15,7.8321800232,4.8419737816,6.4225492477,7.5501852036,4.9097719193,5.1751241684
5M16,8.0009536743,4.9721918106,6.7645869255,7.5374083519,4.8762164116,5.6970505714
5O2,5.6611094475,4.301030159,4.6827440262,5.5167117119,3.7956299782,3.9678542614
5O3,5.5897760391,3.7385606766,5.0530786514,5.5986404419,3.8450980186,3.4931619167
5O4,6.042181015,4.2525749207,5.0185976028,5.913684845,3.749155283,3.8473026752
5O5,6.4542427063,3.7781512737,4.6361527443,6.0629844666,3.3890755177,3.9463255405
5O6,6.0078892708,3.3177418709,3.8188948631,5.949280262,3.1721961498,3.8027603626
5O7,5.7633633614,4.0282616615,4.8652296066,6.6276364326,3.6601769924,4.3888149261
5O8,7.2804193497,4.2066497803,5.4264836311,7.1864376068,4.3105883598,4.2589936256
5O9,7.3616251945,4.1963486671,5.7721581459,7.3020482063,4.182800293,4.4877157211
5O10,7.4320774078,4.0544514656,5.6830434799,7.4676074982,4.44465065,5.4771213531
5O11,7.6857185364,4.326364994,6.2000098228,7.5275363922,4.3872623444,4.961414814
5O12,7.5517306328,4.0246090889,5.801030159,7.4056301117,4.24609375,5.012652874
5O13,7.7332854271,4.3609051704,6.6886458397,7.5836586952,4.3217263222,5.2823095322
5O14,7.8400769234,5.2518954277,5.6450171471,7.670519352,4.8513531685,5.3970489502
5O15,7.5874657631,3.9542424679,5.4432454109,7.4168920517,3.9515450001,5.5307264328
5O16,7.8544230461,4.0021605492,4.9286661148,7.6430034637,3.6643936634,5.5307264328
10A2,6.112654686,4.9294190407,4.0340929031,5.5292129517,4.7525749207,4.2552723885
10A3,6.5431799889,5.3521823883,4.0873208046,6.0052347183,4.6020598412,4.9190778732
10A4,6.5537743568,5.9493899345,4.0880455971,6.3629560471,5,4.5857167244
10A5,7.5651669502,6.7525749207,5.6470127106,7.413684845,4.6020598412,5.5662899017
10A6,8.1982307434,6.6083469391,6.3733406067,8.1466808319,6.2876172066,6.3333525658
10A7,8.7357187271,8.2241983414,6.9280924797,8.4588785172,7.2179222107,7.5037202835
10A8,8.617764473,8.1792907715,7.0369691849,8.3896360397,7.6767659187,7.4955444336
10A9,8.8885316849,8.5303487778,6.8369708061,8.5049381256,7.6860876083,7.5925445557
10A10,9.14640522,9.0612878799,6.7314982414,8.8020477295,8.5006504059,6.7442755699
10A11,9.2300806046,9.1651058197,6.7835130692,8.3818445206,8.7941923141,8.5619258881
10A12,9.6382312775,9.4844751358,7.1666026115,8.4978179932,9.0428237915,8.0743017197
10A13,9.5619258881,9.4941549301,6.6981868744,8.2491970062,8.9949026108,8.443780899
10A14,9.7525749207,9.7685317993,6.6671261787,8.5395908356,8.9911355972,8.9834461212
10A15,9.6760911942,9.6986227036,6.7317223549,8.552072525,9.2159233093,9.552072525
10A16,9.8855733871,9.7881708145,7.2957549095,8.6778211594,9.4626970291,8.6315813065
10A17,9.7274227142,9.4542427063,7.4600615501,8.16127491,9.2695627213,7.8450980186
10M2,5.7235789299,3.9542424679,3.7717857361,5.2955322266,3.6674277782,3.8309063911
10M3,5.9001522064,4.4771213531,4.3309063911,5.9684829712,3.7829239368,4.3975920677
10M4,6.8175406456,4.7558746338,4.6522450447,6.6579852104,4.2304487228,4.7297716141
10M5,6.9771213531,4.9619584084,4.716003418,7.0246090889,4.3890757561,4.5395908356
10M6,7.8606991768,5.1020598412,5.0131850243,7.7988476753,4.9447069168,5.0501852036
10M7,8.3637018204,5.8925223351,5.6945829391,8.3001756668,6.2787537575,5.7030997276
