Samples,TVC,Pseudomonads,Brochothrix,LAB,Enterobacteriaceae,Yeasts-Molds
15M3,6.6760911942,3.6989700794,4.6843295097,6.8633227348,4.8129134178,4.5718197823
15M6,7.5818786621,5.1505150795,5.1507320404,7.5672478676,5.1505150795,5.0382838249
15M8,8.2552728653,5.5185141563,5.0535712242,7.8618097305,4.301030159,5.0923457146
15M11,8.1652069092,6.104757309,5.4627847672,8.1273708344,6.5552272797,5.927274704
15M13,8.4141302109,6.4964976311,5.4701337814,8.3316431046,6.6506233215,6.3849101067
15M15,8.4795207977,6.8817138672,5.0499095917,8.4286661148,7.0969099998,6.5324163437
15M17,8.1581001282,6.9359617233,4.8450980186,8.1277446747,9.3034381866,8.1221389771
15O3,6.5220737457,4.3890757561,4.7322449684,6.3802113533,4.301030159,3.9776995182
15O6,6.811624527,4.8573327065,4.6857185364,7.301030159,4.2787537575,4.4097719193
15O8,8.1359205246,5.8388490677,5.3586854935,8.0863018036,4.2787537575,5.1349897385
15O11,7.8756394386,4.707570076,4.2887458801,7.9108548164,5.1276364326,5.2378644943
15O13,7.6418766975,4.9294190407,4.0791811943,7.5721311569,5.2235789299,5.9601397514
15O15,7.6020598412,5.093337059,2.5880455971,7.8408918381,5.18156147,6.2289409637
15O17,7.9286661148,6.4547243118,2.8406205177,8.2334489822,6.8756394386,7.2922506332
